COVID-19 Vaccinations in the United States
Date generated: Tue Jan 04 2022 16:22:29 GMT-0500 (東部標準時間)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1602445,227056,277441,1303196,184654,1232091,213319,629333,89.2,581428,95,478809,67.8,447608,77.5,972725,561520,68200,0,34569,476691,791430,506,167500,273357,37604,348,167426,242287,37569,326,N/A,89.2,N/A,95,63.9,419784,72.7,629333,95561,95,77661,88.9,41413,33399,2767,82,238101,272605,1834660,609945,95,468302,76.8,167492,262878,37588,344,1278992,209755,262802,629242,95,478786,72.5,167494,273343,37601,348,1303064,197320,242655,135245,28.2,134163,30,67846,39.3,37995,48.9,58034,76157,1037,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6254550,N/A,N/A,6910539,N/A,6516227,N/A,3858300,N/A,3636931,N/A,2878110,N/A,2714370,N/A,4026070,2018980,209500,0,308112,2313047,4267585,21795,899939,1703435,274522,214,899741,1540106,274310,213,N/A,N/A,N/A,N/A,0,2440828,0,3858300,330526,0,172229,0,59488,103622,9119,0,544675,0,0,3824591,0,2861037,0,899914,1686415,274494,214,6859663,0,0,3858144,0,2878046,0,899920,1703410,274502,214,6910331,0,0,1177,0,1173,0,139,0,30,0,384,783,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1975035,202825,256434,1597853,164090,1475477,191573,750915,77.1,686711,89.2,627242,64.4,577116,74.9,1135475,750060,89500,0,58546,620457,917007,1843,224097,347962,54598,585,223964,298037,54538,577,N/A,77.1,N/A,89.2,60.4,538000,69.9,750915,204386,95,175532,92.9,72386,93036,9796,314,491720,260299,1045510,731834,87.1,615485,73.3,224084,336229,54587,585,1566112,186485,235177,750769,81.7,627213,68.2,224086,347948,54594,585,1597681,173841,214901,222425,35.5,220944,38.3,169166,50.2,106004,60.4,98121,120574,3718,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,40557635,188836,235147,33945694,158051,31792995,184331,16077670,74.9,14896680,86.4,13648680,63.5,12740594,73.9,24198715,14085120,2273800,0,1400562,12673679,19751411,120042,4712849,7597270,1303571,34990,4710902,6693136,1301917,34639,N/A,74.9,N/A,86.4,58.7,11703132,67.9,16077670,4652849,95,4001897,89,1926338,1844766,210572,20221,11247688,250097,901814,15790445,84.5,13478663,72.1,4712087,7428885,1302740,34951,33475834,179053,216932,16069806,79,13647031,67.1,4712135,7597131,1302776,34989,33936892,166864,199418,4436417,32.5,4410537,34.6,3408762,45.9,2180690,54.5,1969461,2382588,80352,4016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,108760,106294,163000,84269,82358,81451,122072,48868,47.8,47144,70.7,43159,42.2,42091,63.1,16120,80440,12200,0,12735,68591,2935,8,30007,1246,11901,5,30002,206,11878,5,N/A,47.8,N/A,70.7,31.8,31537,47.3,48868,3677,76.4,3419,71.1,2332,14,1073,0,6467,134393,2260180,48543,61.3,43149,54.5,30006,1245,11893,5,83893,106003,137424,48863,52.6,43155,46.5,30007,1246,11897,5,84264,90781,117172,3743,8.7,3740,8.9,1427,11.3,405,11.8,3408,13,322,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18270005,172076,225179,13419260,126389,12431043,153214,6527303,61.5,5959347,73.4,5439187,51.2,5036062,62.1,10675585,6802220,792200,0,320934,5313660,7750904,33762,2063858,3063357,301754,10218,2062904,2662688,301292,9178,N/A,61.5,N/A,73.4,49,4797663,59.1,6527303,1401583,92.4,1226061,80.8,667788,521557,34453,2263,3301391,217633,1204390,6388018,71.1,5366774,59.7,2063779,2991194,301634,10167,13201721,146880,203269,6525701,65.5,5438946,54.6,2063806,3063256,301670,10214,13417455,134702,183418,1556737,28.6,1545016,30.7,1067618,40.6,600420,49,717540,819514,18787,896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,281460,167049,245722,293835,174394,260434,227366,141062,83.7,122365,95,127146,75.5,112727,95,180380,78580,22500,0,11744,94462,187576,53,38264,78357,10521,4,38250,63960,10513,4,N/A,83.7,N/A,95,69.7,102999,89.9,141062,17016,95,15992,95,6562,8855,572,3,42084,262026,1752440,137152,95,125651,95,38263,76864,10520,4,288369,219599,214338,141050,92.3,127145,83.2,38263,78357,10521,4,293822,192341,184249,32972,25.9,32831,29.1,20901,46.9,9316,58.3,12630,19702,640,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2971770,209890,266287,2265509,160008,2073677,185813,1264271,89.3,1140880,95,904205,63.9,834119,74.7,1792150,1056720,122900,0,58594,737731,1375120,94064,285667,542592,57799,18147,285049,473308,57632,18130,N/A,89.3,N/A,95,60.1,781070,70,1264271,308456,95,242269,90.2,99869,129869,11113,1418,614478,228900,1107020,1221685,95,887338,73.3,285615,525824,57763,18136,2207146,182242,245376,1263129,94.9,904029,67.9,285620,542507,57765,18137,2264903,170210,223332,165728,18.3,164931,19.8,120424,26.5,78804,32.5,53594,110413,1696,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5658495,179346,233030,4662216,147769,4306229,177340,2055676,65.2,1866389,76.9,1866268,59.2,1708636,70.4,3257455,2121240,279800,0,171099,1870896,2619782,439,696089,1012800,157098,281,695879,855471,157008,278,N/A,65.2,N/A,76.9,55.5,1594438,65.7,2055676,541896,95,505859,91.5,265875,225525,14341,118,1417923,256427,1023320,1993472,74.5,1821962,68.1,696076,968511,157095,280,4554961,170197,211431,2055585,69.5,1866260,63.1,696085,1012798,157096,281,4662129,157534,191202,848304,45.5,841850,49.3,603914,62.9,371998,73.5,398526,438406,11358,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2857660,159908,213439,2034077,113822,2032177,151784,934248,52.3,930350,69.5,827774,46.3,825185,61.6,1668940,1037920,150800,0,80015,838394,1112698,2970,316064,435775,75232,703,316037,433243,75210,695,N/A,52.3,N/A,69.5,42.9,764929,57.1,934248,269966,92.9,246494,84.8,113297,120952,11948,297,664134,228484,983129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322214,38.9,322193,39,236357,51.7,150180,60.9,141265,176255,4632,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
